Mode,MNLC,MASC,Station,Coverage,Source,Monday Entry,Midweek (Tue-Thu) Entry,Friday Entry,Saturday Entry,Sunday Entry,Monday Exit,Midweek (Tue-Thu) Exit,Friday Exit,Saturday Exit,Sunday Exit,Weekly En/Ex,12-week En/Ex,Annualised En/Ex
EZL,7091,HAFr,Heathrow Terminal 4 EL,Station entry/exit,taps,"5,344","5,485","5,402","5,690","5,782","4,972","5,349","5,178","5,395","4,604","74,868","876,626","3,549,577"
EZL,9846,HWVr,Heathrow Terminal 5 EL,Station entry/exit,taps,"13,188","12,720","12,583","8,896","9,832","12,027","13,052","14,979","10,461","7,737","167,020","1,955,630","7,918,608"
EZL,7090,HXXr,Heathrow Terminals 2 & 3 EL,Station entry/exit,taps,"18,003","17,267","17,857","16,054","16,803","16,627","15,677","17,079","16,119","13,914","231,289","2,708,152","10,965,671"
EZL,6881,IFDr,Ilford,Station entry/exit,taps,"16,656","17,521","17,062","14,723","10,427","16,944","18,197","16,823","14,401","10,343","224,534","2,629,053","10,645,386"
EZL,3170,IVRr,Iver,Station entry/exit,taps,717,905,926,607,586,807,813,824,593,"1,151","11,365","133,072","538,826"
EZL,3171,LNYr,Langley,Station entry/exit,taps,"2,521","2,839","3,228","2,388","1,195","2,814","3,073","3,517","2,208","1,654","37,261","436,284","1,766,574"
EZL,634,LSTu,Liverpool Street LU,---see LU---,taps,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,6965,LSTr,Liverpool Street NR,Boarding/alighting,lw,"26,463","31,792","25,865","16,818","19,333","22,574","27,075","23,459","16,685","12,959","340,758","3,989,919","16,155,713"
EZL,3147,MAIr,Maidenhead,Station entry/exit,taps,"8,587","10,971","7,835","7,186","4,324","8,656","11,274","8,482","7,572","4,600","123,976","1,451,630","5,877,845"
EZL,6883,MNPr,Manor Park,Station entry/exit,taps,"6,218","6,760","6,881","5,316","3,940","6,030","6,477","6,311","4,984","3,791","83,182","973,968","3,943,727"
EZL,6970,MYLr,Maryland,Station entry/exit,taps,"6,337","6,882","6,735","5,192","3,631","5,857","6,336","5,911","4,484","3,415","81,216","950,959","3,850,559"
EZL,670,PADu,Paddington TfL,---see LU---,taps,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,3149,RDGr,Reading,Boarding/alighting,lw,"4,607","5,043","5,094","3,873","3,850","6,184","6,581","6,766","5,512","4,446","75,202","880,530","3,565,384"
EZL,6886,RMFr,Romford,Station entry/exit,taps,"15,006","16,471","15,801","12,570","7,754","15,722","17,396","16,402","12,678","8,024","205,555","2,406,837","9,745,606"
EZL,6893,SVKr,Seven Kings,Station entry/exit,taps,"6,495","6,923","6,719","4,885","3,413","5,978","6,338","6,007","4,349","3,108","80,738","945,360","3,827,887"
EZL,6888,SNFr,Shenfield,Boarding/alighting,lw,"4,825","4,565","4,467","3,504","1,656","5,877","5,687","5,706","4,604","2,584","63,976","749,097","3,033,193"
EZL,3172,SLOr,Slough,Station entry/exit,taps,"8,738","9,863","8,788","7,691","5,110","8,222","9,250","8,171","6,905","4,478","115,441","1,351,697","5,473,202"
EZL,3187,STLr,Southall,Station entry/exit,taps,"12,159","13,163","12,774","11,152","7,809","12,791","13,556","12,856","10,544","6,931","167,174","1,957,432","7,925,902"
EZL,719,SFDu,Stratford,---see LU---,taps,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,3151,TAPr,Taplow,Station entry/exit,taps,"1,195","1,464","1,403","1,217",591,"1,269","1,482","1,282",952,860,"17,605","206,132","834,656"
EZL,728,TCRu,Tottenham Court Road,---see LU---,taps,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,3155,TWYr,Twyford,Station entry/exit,taps,"4,447","6,405","6,798","4,812","2,873","4,783","7,479","7,515","4,949","2,965","80,793","945,999","3,830,476"
EZL,3174,WDTr,West Drayton,Station entry/exit,taps,"5,859","6,445","6,162","5,371","2,902","5,594","5,928","5,594","4,776","2,620","75,999","889,869","3,603,198"
EZL,3188,WEAr,West Ealing,Station entry/exit,taps,"4,386","5,534","4,783","4,393","2,252","4,235","5,009","4,236","3,665","2,399","61,979","725,707","2,938,483"
EZL,763,WCLu,Whitechapel,---see LU---,taps,---,---,---,---,---,---,---,---,---,---,---,---,---
EZL,6562,WWCr,Woolwich EL,Station entry/exit,taps,"20,213","23,366","22,165","19,323","13,202","19,980","23,138","20,901","18,132","12,472","285,899","3,347,580","13,554,798"
